psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100181,1,2,21314,1,37,3,2,S, ,2,2,3,3,3,2,1,8,8,8,2,2,2,98,12, , ,4,2,2, ,1,2,1,2,99,3,2,2,1,1,1,9,9,8, , , ,28365,1.96666666666667,.602618260479164
100184,1,2,21314,1,22,3,1,S, ,2,2,2,2,3,4,2,2,1,2,2,1,2,97,1, ,1,2,1, , ,1,3,2,1,74,6,2,1,5,2,1,1, ,1, , , ,71467,1,.306416064650422
100191,1,1,21314,1,48,3,2,S,1, ,2,4,4,2,2,2,1,1,1,2,1,2,5,1, ,1,1,1, , ,2,3,2,2,62,6,2,1,7,4,1,1, ,1, , , ,75771,2.16666666666667,.663901473409249
100193,1,2,21314,1,48,3,4,U, ,2,1,2,2,2,2,1,2,1,1,2,1,1,5,1, ,1,2,1, , ,1,1,1,2,37,3,2,2,4,2,1,3,1,2, , , ,78617,5.23333333333333,1.60357740500388
100203,1,2,21314,1,55,2,1,S, ,2,4,2,4,4,3,2,2,2,2,2,1,2,7,1, ,1,4,1, , ,3,1,2,2,59,4,2,1,6,3,1,2, ,3, , , ,53955,3.13333333333333,.96010366923799
100212,1,2,21314,1,41,4,1,S, ,1,3,2,3,4,2,2,2,2,1,2,2,2,98,13, ,2,5,1, , ,3,2,2,2,18,3,2,1,5,2,1,3,1,3, , , ,97477,3.6,1.10309783274152
100215,1,2,21314,1,6,4,5,S, ,2,2,2,2,5,3,2,1,2,2,2,2,2,2,2, ,2,4,1, , ,2,3,2,2,65,2,1,1,4,2,1,2, ,3, , , ,90680,1.9,.582190522835803
100216,1,1,21314,1,41,4,1,S,2, ,3,3,3,3,2,1,2,2,2,2,1,2,7,1, ,1,3,1, , ,1,3,2,2,71,4,2,1,3,1,1,2, ,3, , , ,97537,1,.306416064650422
100217,1,2,21314,1,53,4,1,S, ,2,3,8,4,3,3,2,2,8,2,2,8,2,98,1, ,2,3,1, , ,3,3,2,2,72,3,2,1,99,9,1,1, ,2, , , ,98248,2.43333333333333,.745612423982695
100220,1,2,21414,1,37,3,1,S, ,2,1,1,4,1,2,1,2,2,2,2,2,1,7,2, ,2,2,1, , ,1,1,2,2,65,8,2,1,9,4,1,3,2,5, , , ,28785,1,.306416064650422
100222,1,2,21414,1,47,3,3,S, ,1,4,2,2,4,2,2,3,3,3,2,2,2,98,1, ,1,1,1, , ,1,3,2,2,84,8,2,1,99,9,1,1, ,2, , , ,37377,1.03333333333333,.316629933472103
