Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
274,Shake Milton,LAL,"$3,000,000 ","$3,287,406 ",,,,,"$6,287,406 "
275,Kyle Filipowski,UTA,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,,,"$3,000,000 "
276,Julian Champagnie,SAS,"$3,000,000 ","$3,000,000 ",,,,,
277,Jase Richardson,ORL,"$2,983,320 ","$3,132,360 ","$3,282,000 ","$5,910,882 ",,,"$6,115,680 "
278,Kyshawn George,WAS,"$2,966,760 ","$3,108,000 ","$5,435,892 ",,,,"$2,966,760 "
279,Tony Bradley,IND,"$2,940,876 ",,,,,,"$2,940,876 "
280,Lonnie Walker IV,PHI,"$2,940,876 ",,,,,,
281,Marcus Sasser,DET,"$2,886,720 ","$5,198,983 ",,,,,"$2,886,720 "
282,Ben Saraf,BRK,"$2,884,560 ","$3,028,560 ","$3,172,920 ","$5,720,776 ",,,"$5,913,120 "
283,Pacome Dadiet,NYK,"$2,847,600 ","$2,983,680 ","$5,373,608 ",,,,"$2,847,600 "
284,Danny Wolf,BRK,"$2,801,280 ","$2,941,440 ","$3,081,840 ","$5,559,640 ",,,"$5,742,720 "
285,Ben Sheppard,IND,"$2,790,720 ","$5,031,669 ",,,,,"$2,790,720 "
286,Hugo González,BOS,"$2,783,880 ","$2,923,560 ","$3,062,640 ","$5,528,065 ",,,"$5,707,440 "
287,Liam McNeeley,CHO,"$2,763,960 ","$2,902,080 ","$3,040,320 ","$5,487,778 ",,,"$5,666,040 "
288,Dillon Jones,OKC,"$2,753,280 ","$2,884,440 ","$5,200,646 ",,,,"$2,753,280 "
289,Yanic Konan Niederhauser,LAC,"$2,743,800 ","$2,880,960 ","$3,018,480 ","$5,448,356 ",,,"$5,624,760 "
290,DaQuan Jeffries,CHO,"$2,743,776 ","$3,080,918 ",,,,,
291,Nick Smith Jr.,CHO,"$2,710,680 ","$4,890,067 ",,,,,"$2,710,680 "
292,Brice Sensabaugh,UTA,"$2,693,760 ","$4,862,237 ",,,,,"$2,693,760 "
293,Julian Strawther,DEN,"$2,674,200 ","$4,826,931 ",,,,,"$2,674,200 "
294,Terrence Shannon Jr.,MIN,"$2,674,080 ","$2,801,640 ","$5,054,159 ",,,,"$2,674,080 "
295,James Wiseman,IND,"$2,667,947 ",,,,,,"$1,000,000 "
296,Ryan Dunn,PHO,"$2,657,760 ","$2,784,240 ","$5,025,553 ",,,,"$2,657,760 "
297,Kobe Brown,LAC,"$2,654,880 ","$4,792,059 ",,,,,"$2,654,880 "
298,Isaiah Collier,UTA,"$2,638,200 ","$2,763,960 ","$4,988,948 ",,,,"$2,638,200 "
299,Baylor Scheierman,BOS,"$2,619,000 ","$2,744,040 ","$4,952,993 ",,,,"$7,697,033 "
300,Xavier Tillman Sr.,BOS,"$2,546,675 ",,,,,,"$2,546,675 "
301,Terence Davis,SAC,"$2,546,675 ",,,,,,
302,Chuma Okeke,CLE,"$2,546,675 ",,,,,,
303,Charles Bassey,SAS,"$2,500,000 ",,,,,,
304,Justin Champagnie,WAS,"$2,349,578 ","$2,667,944 ","$3,005,085 ",,,,"$5,017,522 "
305,Jordan Goodwin,PHO,"$2,349,578 ",,,,,,"$2,349,578 "
306,Jay Huff,IND,"$2,349,578 ","$2,667,944 ","$3,005,085 ",,,,"$2,349,578 "
307,Keon Johnson,BRK,"$2,349,578 ",,,,,,"$2,349,578 "
308,Brandon Boston Jr.,NOP,"$2,349,578 ",,,,,,
309,Neemias Queta,BOS,"$2,349,578 ","$2,667,944 ",,,,,
310,Vit Krejci,ATL,"$2,349,578 ","$2,667,944 ","$3,005,085 ",,,,
311,Keon Ellis,SAC,"$2,301,587 ",,,,,,"$2,301,587 "
312,Vince Williams Jr.,MEM,"$2,301,587 ","$2,489,752 ",,,,,"$2,301,587 "
313,A.J. Green,MIL,"$2,301,587 ",,,,,,
314,Scotty Pippen Jr.,MEM,"$2,270,735 ","$2,461,462 ","$2,789,215 ",,,,"$2,270,735 "
315,JD Davison,BOS,"$2,270,735 ",,,,,,"$2,270,735 "
316,A.J. Lawson,TOR,"$2,270,735 ",,,,,,
317,Brandon Williams,DAL,"$2,270,735 ",,,,,,
318,Moussa Diabaté,CHO,"$2,270,735 ","$2,461,462 ",,,,,
319,Rayan Rupert,POR,"$2,221,677 ",,,,,,"$2,221,677 "
320,Ricky Council IV,PHI,"$2,221,677 ",,,,,,"$2,221,677 "
321,GG Jackson II,MEM,"$2,221,677 ","$2,406,205 ",,,,,"$2,221,677 "
322,Gui Santos,GSW,"$2,221,677 ",,,,,,"$2,221,677 "
323,Jalen Pickett,DEN,"$2,221,677 ","$2,406,205 ",,,,,"$2,221,677 "
324,Hunter Tyson,DEN,"$2,221,677 ","$2,406,205 ",,,,,"$2,221,677 "
325,Julian Phillips,CHI,"$2,221,677 ","$2,406,205 ",,,,,"$2,221,677 "
326,Jalen Wilson,BRK,"$2,221,677 ",,,,,,"$2,221,677 "
327,Jordan Walsh,BOS,"$2,221,677 ","$2,406,205 ",,,,,"$200,000 "
328,Duop Reath,POR,"$2,221,677 ",,,,,,
329,Toumani Camara,POR,"$2,221,677 ","$2,406,205 ",,,,,
330,Leonard Miller,MIN,"$2,221,677 ","$2,406,205 ",,,,,
331,Andre Jackson Jr.,MIL,"$2,221,677 ","$2,406,205 ",,,,,
332,Trayce Jackson-Davis,GSW,"$2,221,677 ","$2,406,205 ",,,,,
333,Craig Porter Jr.,CLE,"$2,221,677 ","$2,406,205 ",,,,,
334,Mouhamed Gueye,ATL,"$2,221,677 ","$2,406,205 ",,,,,
335,JaVale McGee,DAL,"$2,208,856 ","$2,208,856 ","$2,208,856 ",,,,"$6,626,568 "
336,Tyler Kolek,NYK,"$2,191,897 ","$2,296,271 ","$2,486,995 ",,,,"$4,488,168 "
337,Jaylen Clark,MIN,"$2,191,897 ",,,,,,"$2,191,897 "
338,Tyrese Martin,BRK,"$2,191,897 ",,,,,,"$2,191,897 "
339,Caleb Houstan,ORL,"$2,187,699 ",,,,,,
340,Tyler Smith,MIL,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$4,251,648 "
341,Johnny Furphy,IND,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$4,251,648 "
342,Jonathan Mogbo,TOR,"$1,955,377 ","$2,296,271 ",,,,,"$1,955,377 "
343,Jamal Shead,TOR,"$1,955,377 ","$2,296,271 ",,,,,"$1,955,377 "
344,Isaac Jones,SAC,"$1,955,377 ",,,,,,"$1,955,377 "
345,Oso Ighodaro,PHO,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$1,955,377 "
346,Ariel Hukporti,NYK,"$1,955,377 ",,,,,,"$1,955,377 "
347,Karlo Matković,NOP,"$1,955,377 ","$2,296,271 ",,,,,"$1,955,377 "
348,Keshad Johnson,MIA,"$1,955,377 ",,,,,,"$1,955,377 "
349,Jaylen Wells,MEM,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$1,955,377 "
350,Bronny James,LAL,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$1,955,377 "
351,Cam Christie,LAC,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$1,955,377 "
352,Quinten Post,GSW,"$1,955,377 ",,,,,,"$1,955,377 "
353,Bobi Klintman,DET,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,"$1,955,377 "
354,Drew Timme,BRK,"$1,955,377 ",,,,,,"$1,955,377 "
355,Jamison Battle,TOR,"$1,955,377 ","$2,296,271 ",,,,,
356,Adem Bona,PHI,"$1,955,377 ","$2,296,271 ","$2,486,995 ",,,,
357,Pelle Larsson,MIA,"$1,955,377 ","$2,296,271 ",,,,,
358,E.J. Liddell,PHO,"$706,898 ","$706,898 ",,,,,"$1,413,796 "
359,Mamadi Diakite,MEM,"$464,050 ","$464,050 ",,,,,"$928,100 "
360,Ricky Rubio,CLE,"$424,672 ","$424,672 ",,,,,"$849,344 "
361,Didi Louzada,POR,"$268,032 ","$268,032 ","$268,032 ","$268,032 ",,,"$1,072,128 "
